2026-07-17 01:50:15 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 14, 'block_threshold': 4}
2026-07-17 01:50:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 14, 'block_threshold': 4}
2026-07-17 01:52:36 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.023306, 'event': 'bounce', 'fill_depth': 0.2831888784004123}
2026-07-17 01:55:34 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:55:48 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.042444, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.02}
2026-07-17 01:55:48 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'USUSDT', 'level': 0.035395, 'strength': 4}
2026-07-17 01:57:21 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'USUSDT', 'level': 0.035395, 'current': 0.042679, 'distance_pct': 17.1}
2026-07-17 01:57:21 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'USUSDT', 'level': 0.035395}
2026-07-17 01:57:22 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'USUSDT', 'total_levels': 1}
2026-07-17 02:05:37 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 02:15:40 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 02:25:42 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-17 02:27:18 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.0415, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.95}
2026-07-17 02:27:19 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'USUSDT', 'level': 0.035758, 'strength': 5}
